Track,Album Name,Artist,All Time Rank,Track Score,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity
Private Jet,Mafia Musik,D. Savage,"2,181",30.7,3268.0,109837.0,40.0
DNA.,DAMN.,Kendrick Lamar,"2,184",30.7,185660.0,44429618.0,75.0
"Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) - Remix","Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) [Remix Version]",Ty Dolla $ign,"2,197",30.6,152498.0,28278237.0,74.0
Baklava,Baklava - Single,Gya,"2,189",30.6,418.0,286571.0,61.0
Veggie Dance,Veggie Dance,Gracie's Corner,"2,187",30.6,222.0,58855.0,55.0
Still Don't Know My Name,Euphoria (Original Score from the HBO Series),Labrinth,"2,185",30.6,127503.0,40134293.0,71.0
Sittin' On Top Of The World,Sittin' On Top Of The World - Single,Burna Boy,"2,196",30.6,23415.0,3622192.0,55.0
Broke In A Minute,Broke In A Minute,Tory Lanez,"2,186",30.6,116527.0,22947586.0,70.0
In Case You Didn't Know,Brett Young EP,Brett Young,"2,198",30.6,62305.0,14198815.0,68.0
HVN ON EARTH (with Kodak Black),HVN ON EARTH,Lil Tecca,"2,201",30.5,39763.0,21760033.0,60.0
It Ain't Me (with Selena Gomez),It Ain't Me (with Selena Gomez),Kygo,"2,205",30.5,150179.0,55438878.0,71.0
Baarish Ban Jaana,Baarish Ban Jaana,Payal Dev,"2,202",30.5,4554.0,1202197.0,57.0
I CAN'T STOP ME,Eyes Wide Open,TWICE,"2,200",30.5,32051.0,9361355.0,65.0
Take What You Want (feat. Ozzy Osbourne & Travis Scott),Hollywood's Bleeding,Post Malone,"2,203",30.5,108263.0,18637177.0,69.0
Filhaal2 Mohabbat,Filhaal2 Mohabbat,B Praak,"2,206",30.5,6300.0,1979759.0,57.0
Vivir Mi Vida,3,Marc Anthony,"2,210",30.4,78822.0,28465181.0,71.0
Lullaby - BadWolf Remix,Lullaby (BadWolf Remix),TR-MEET,"2,213",30.4,113.0,5777.0,10.0
Love Not War (The Tampa Beat),Love Not War (The Tampa Beat) [Remixes] (feat. Jason Derulo),Jason Derulo,"2,212",30.4,51888.0,9569404.0,59.0
"Lose Yourself - From ""8 Mile"" Soundtrack",8 Mile,Eminem,"2,222",30.4,345119.0,97808878.0,75.0
My Oh My,My Oh My,Ava Max,"2,216",30.4,2365.0,37158651.0,1.0
willow,evermore,Taylor Swift,"2,217",30.4,67136.0,50350718.0,72.0
100 MESSAGGI,100 MESSAGGI,Lazza,"2,219",30.4,5282.0,6183983.0,73.0
OUT OUT (feat. Charli XCX & Saweetie),OUT OUT (feat. Charli XCX & Saweetie),Joel Corry,"2,218",30.4,105947.0,68408965.0,68.0
Turn On The Lights again.. (feat. Future),USB,Fred again..,"2,214",30.4,102679.0,49713000.0,61.0
"Mommy, Mommy Give Me Yummy","Mommy, Mommy Give Me Yummy",D Billions,"2,209",30.4,49.0,4311.0,21.0
Illegal Weapon,Illegal Weapon,Garry Sandhu,"2,224",30.3,12496.0,2290221.0,57.0
Starships,Crave Volume 7,Nicki Minaj,"2,225",30.3,189848.0,71457898.0,73.0
Calidad,Calidad,Grupo Firme,"2,238",30.3,18763.0,9876263.0,54.0
Send My Love (To Your New Lover),25,Adele,"2,234",30.3,89443.0,24441546.0,66.0
Chakalitos,Chakalitos,Angi Fire,"2,229",30.3,1570.0,171193.0,10.0
Rather Be (feat. Jess Glynne),I Cry When I Laugh,Clean Bandit,"2,236",30.3,188363.0,58299660.0,70.0
Into Your Arms (feat. Ava Max),Into Your Arms (feat. Ava Max),Witt Lowry,"2,232",30.3,68181.0,10506568.0,67.0
1000 Blunts,"Sing Me a Lullaby, My Sweet Temptation",$uicideboy$,"2,237",30.3,43837.0,2663499.0,72.0
#BrooklynBloodPop!,#BrooklynBloodPop!,SyKo,"2,230",30.3,76485.0,8876090.0,62.0
Baby Songs,Baby Lullaby - Relaxing Piano Baby Lullabies Baby Songs and Nursery Rhymes for Baby Sleep and Newborn Natural Sleep Aid,Baby Lullaby,"2,227",30.3,36.0,9217.0,27.0
Clout (feat. Cardi B),FATHER OF 4,Offset,"2,231",30.3,61432.0,15468892.0,58.0
I love you,I love you,Dadju,"2,247",30.2,10432.0,9086026.0,63.0
One Last Time,My Everything,Ariana Grande,"2,243",30.2,110953.0,65876311.0,77.0
Malas Decisiones,K23,Kenia OS,"2,246",30.2,15573.0,11736236.0,68.0
Dos Mil 16,Un Verano Sin Ti,Bad Bunny,"2,249",30.2,50219.0,17690466.0,71.0
La Vaca Lola,Las 20 Mejores Canciones Infantiles,Toy Cantando,"2,250",30.2,3255.0,310554.0,55.0
Termina Comigo Antes,Termina Comigo Antes,Gusttavo Lima,"2,241",30.2,12885.0,13054030.0,63.0
Baarish,Baarish,Payal Dev,"2,244",30.2,1424.0,362321.0,41.0
Dijeron Que No La Iba Lograr,Dijeron Que No La Iba a Lograr,Chino Pacas,"2,254",30.1,23146.0,7025185.0,43.0
Feel It Still,Feel It Still,Portugal. The Man,"2,263",30.1,204110.0,65716191.0,74.0
MotorSport,MotorSport,Migos,"2,262",30.1,89159.0,24300466.0,62.0
Bad At Love,hopeless fountain kingdom (Deluxe),Halsey,"2,265",30.1,56371.0,12074505.0,59.0
Nevada,Nevada,YoungBoy Never Broke Again,"2,251",30.1,60031.0,4503801.0,64.0
The Adults Are Talking,The New Abnormal,The Strokes,"2,264",30.1,152115.0,30405327.0,76.0
Hips Don't Lie (feat. Wyclef Jean),Oral Fixation Vol. 2,Shakira,"2,257",30.1,261693.0,142426948.0,80.0
Overdose,Overdose - Single,natori,"2,259",30.1,26630.0,3407532.0,62.0
Tak Segampang Itu,Tak Segampang Itu,Anggi Marito,"2,253",30.1,14918.0,7489575.0,74.0
Emotionally Scarred,My Turn,Lil Baby,"2,261",30.1,93481.0,10151445.0,63.0
When It Rains It Pours,This One's for You,Luke Combs,"2,258",30.1,93613.0,23160480.0,78.0
If I Didn't Love You,If I Didn't Love You,Jason Aldean,"2,268",30.0,22233.0,3205615.0,60.0
UNHEALTHY (feat. Shania Twain),UNHEALTHY (feat. Shania Twain),Anne-Marie,"2,274",30.0,18457.0,6727123.0,60.0
ATORRANTE - con Los Palmeras,ATORRANTE - con Los Palmeras,Emanero,"2,280",30.0,7487.0,3295468.0,61.0
"Praise (feat. Brandon Lake, Chris Brown & Chandler Moore)",CAN YOU IMAGINE?,Elevation Worship,"2,284",30.0,31102.0,3889566.0,70.0
Roses,Roses,The Chainsmokers,"2,270",30.0,137023.0,33124854.0,68.0
Close Friends (Lil Baby & Gunna),Drip Harder,Lil Baby,"2,267",30.0,99524.0,11666867.0,65.0
Propuesta Indecente,Caliente! Latino Hitmix 2013,Romeo Santos,"2,266",30.0,76654.0,28891369.0,74.0
Atmosphere,Atmosphere,FISHER,"2,278",30.0,40300.0,55773870.0,70.0
Eid,Eid,Mehmood J,"2,273",30.0,5.0,29.0,4.0
Money In The Grave (Drake ft. Rick Ross),The Best In The World Pack,Drake,"2,275",30.0,180650.0,36876067.0,70.0
Lighter,Lighter (Extended Mix),Galantis,"2,295",29.9,4573.0,31483398.0,5.0
Kill Em With Kindness,Revival (Deluxe),Selena Gomez,"2,290",29.9,48598.0,14497820.0,56.0
Good Love,Good Love,Hannah Laing,"2,296",29.9,26116.0,36440018.0,70.0
Little Girl Gone,Little Girl Gone,CHINCHILLA,"2,297",29.9,21963.0,13959755.0,68.0
Ella Quiere Beber - Remix,Ella Quiere Beber (Remix),Anuel AA,"2,299",29.9,66150.0,25410849.0,70.0
Blicky,Blicky,Fresh X Reckless,"2,292",29.9,6378.0,749928.0,40.0
Baby (Lil Baby feat. DaBaby),Baby,Quality Control,"2,294",29.9,111477.0,16214693.0,68.0
Hotel,Hotel,Montell Fish,"2,291",29.9,56660.0,27811906.0,74.0
Mas Altas Que Bajadas,Nata Montana,Natanael Cano,"2,288",29.9,15069.0,7363178.0,71.0
Somewhere Only We Know,Somewhere Only We Know,Gustixa,"2,286",29.9,9646.0,1321681.0,43.0
X1,Little Hair,MC Cabelinho,"2,285",29.9,30221.0,5514940.0,62.0
DISPARA ***,DISPARA ***,Nicki Nicole,"2,301",29.8,23852.0,8214976.0,66.0
By Your Side,By Your Side,Rod Wave,"2,303",29.8,40909.0,4353138.0,60.0
No Te Contaron Mal,No Te Contaron Mal,Christian Nodal,"2,312",29.8,37141.0,12874966.0,68.0
When We Were Young,25,Adele,"2,305",29.8,117365.0,41710598.0,71.0
Miracle (Extended),Miracle (with Ellie Goulding) [Remixes],Calvin Harris,"2,314",29.8,92.0,28566.0,14.0
Do It Again (feat. 2Rare),Do It Again (feat. 2Rare),NLE Choppa,"2,313",29.8,65297.0,6721980.0,60.0
Loading,Loading,Central Cee,"2,311",29.8,137745.0,8267546.0,65.0
Tek Tek (feat. MHD),Tek Tek (feat. MHD),DYSTINCT,"2,326",29.7,30635.0,5622603.0,59.0
Dos Besitos,Dos Besitos,La Joaqui,"2,320",29.7,18928.0,3742291.0,56.0
Deep Down (feat. Never Dull),Deep Down (feat. Never Dull),Alok,"2,318",29.7,61133.0,99451251.0,76.0
No Me Conoce - Remix,No Me Conoce (Remix),Jhay Cortez,"2,322",29.7,135811.0,46929639.0,75.0
Freaky Friday (feat. Chris Brown),Freaky Friday (feat. Chris Brown),Lil Dicky,"2,321",29.7,82446.0,12953022.0,65.0
Still Rollin,Still Rollin,Shubh,"2,325",29.7,18344.0,7425022.0,69.0
Safe And Sound,Capital Cities EP,Capital Cities,"2,317",29.7,256512.0,74267670.0,78.0
Teeth,Teeth,5 Seconds of Summer,"2,315",29.7,103554.0,18582680.0,71.0
I Took A Pill In Ibiza,The Truth,Mike Posner,"2,316",29.7,17799.0,3474319.0,49.0
Run Free,Run Free,Deep Chills,"2,334",29.6,17950.0,3630498.0,55.0
In The Dark,In the Dark,Purple Disco Machine,"2,330",29.6,34102.0,6137203.0,59.0
Felina,Felina,WIU,"2,331",29.6,35385.0,8942936.0,63.0
Meet you at the Graveyard,"Clean Sheets, dirty walls",Cleffy,"2,327",29.6,21000.0,7441709.0,14.0
Sexy to Someone,Sexy to Someone,Clairo,"2,329",29.6,2626.0,37148745.0,74.0
FEARLESS,FEARLESS,LE SSERAFIM,"2,328",29.6,20231.0,4756698.0,62.0
Let It Go,Let It Go,James Bay,"2,338",29.5,128593.0,56315096.0,65.0
Where It Ends,Where It Ends,Bailey Zimmerman,"2,343",29.5,28857.0,7439902.0,75.0
Desenrola Bate Joga de Ladin (feat. DJ Biel do Furduncinho),Pros Menorzin (feat. DJ Biel do Furduncinho),L7NNON,"2,340",29.5,17907.0,7303868.0,53.0
Carry You Home,Carry You Home,Alex Warren,"2,339",29.5,1095.0,21925889.0,71.0
City Boys,Workout Rap 2024,Burna Boy,"2,342",29.5,58113.0,19505579.0,69.0
Wellerman - Sea Shanty,Wellerman (Sea Shanty),Nathan Evans,"2,336",29.5,103694.0,5805294.0,66.0
Every Summertime,Every Summertime,NIKI,"2,346",29.5,60923.0,13164145.0,70.0
Walk It Talk It,Culture II,Migos,"2,337",29.5,150813.0,29317904.0,67.0
Face Off,Face Off,Tech N9ne,"2,347",29.5,58039.0,6855506.0,59.0
Otra vez (feat. J Balvin),Motivan2,Zion & Lennox,"2,345",29.5,48788.0,18231793.0,67.0
Girls Never Die,<ASSEMBLE24>,tripleS,"2,352",29.4,769.0,17349465.0,67.0
"24/7, 365","24/7, 365",elijah woods,"2,359",29.4,12758.0,7968409.0,71.0
POCPOC,POCPOC,PEDRO SAMPAIO,"2,360",29.4,9079.0,26226576.0,72.0
Je M'appelle,Je M'appelle,Benzz,"2,358",29.4,83611.0,6994071.0,65.0
Soap,Soap,Melanie Martinez,"2,349",29.4,48604.0,10908000.0,67.0
Never Forget You,Never Forget You,Zara Larsson,"2,348",29.4,98962.0,23627265.0,66.0
Tyler Herro,Tyler Herro,Jack Harlow,"2,355",29.4,127984.0,22280549.0,66.0
"i hate u, i love u (feat. olivia o'brien)","i hate u, i love u (feat. olivia o'brien)",gnash,"2,354",29.4,122979.0,53743248.0,70.0
Ophelia,Ophelia,The Lumineers,"2,350",29.4,213943.0,47156566.0,70.0
Manos Rotas,Manos Rotas,DELLAFUENTE,"2,356",29.4,18359.0,8998620.0,71.0
Ella No Es Tuya - Remix,Ella No Es Tuya (Remix),Rochy RD,"2,353",29.4,76669.0,15412661.0,62.0
Satellite,Harry's House,Harry Styles,"2,373",29.3,51605.0,21294785.0,70.0
La Santa,YHLQMDLG,Bad Bunny,"2,361",29.3,96498.0,35375775.0,75.0
Tera Ban Jaunga,Kabir Singh,Akhil Sachdeva,"2,372",29.3,15632.0,8831229.0,63.0
Ranjha Maahi,Ranjha Maahi - Single,Siddhant,"2,375",29.3,75.0,45363.0,7.0
Sure Thing,All I Want Is You,Miguel,"2,362",29.3,190857.0,100835580.0,81.0
Talibans,No Love,Byron Messia,"2,371",29.3,28810.0,5603761.0,61.0
Escapism. - Sped Up,Escapism. (Sped Up),RAYE,"2,376",29.3,47167.0,13191481.0,66.0
Lisa,Lisa,Young Miko,"2,365",29.3,30013.0,8335647.0,67.0
you should see me in a crown,you should see me in a crown,Billie Eilish,"2,370",29.3,103375.0,35817894.0,71.0
Rewrite The Stars (with James Arthur & Anne-Marie),Rewrite The Stars (with James Arthur & Anne-Marie),James Arthur,"2,377",29.2,46385.0,17500223.0,73.0
Somebody (2024),Somebody (2024),Gotye,"2,378",29.2,14144.0,76264974.0,74.0
Dandelions,Dandelions,Ruth B.,"2,383",29.2,183674.0,67708124.0,82.0
I Love You So,I Love You So,The Walters,"2,394",29.2,218492.0,59487193.0,83.0
i love you,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",Billie Eilish,"2,390",29.2,116055.0,42732119.0,75.0
Not Fair,Not Fair,Niklas Dee,"2,392",29.2,46918.0,61515543.0,69.0
Him & I (with Halsey),Him & I,G-Eazy,"2,384",29.2,141296.0,23238086.0,72.0
TIKTOK,TIKTOK,Ian Lucas,"2,381",29.2,113.0,1773907.0,59.0
Call Your Friends,Call Your Friends - Single,Rod Wave,"2,395",29.2,10429.0,2724041.0,46.0
Rosa Pastel,Rosa Pastel,Peso Pluma,"2,391",29.2,22780.0,5337724.0,65.0
Dirt Cheap,Leather,Cody Johnson,"2,387",29.2,8961.0,11610924.0,11.0
Borderline,The Slow Rush,Tame Impala,"2,380",29.2,156377.0,27309112.0,76.0
No Time To Die,No Time To Die,Billie Eilish,"2,388",29.2,91391.0,29634724.0,70.0
En El Radio Un Cochinero,En El Radio Un Cochinero,Victor Cibrian,"2,399",29.1,26581.0,6387381.0,61.0
comethru,comethru,Jeremy Zucker,"2,405",29.1,90889.0,19172749.0,69.0
ROCKSTAR,$AD BOYZ 4 LIFE II,Junior H,"2,404",29.1,13021.0,14018925.0,79.0
Boy's a liar,Boy's a liar,PinkPantheress,"2,400",29.1,39800.0,6108454.0,62.0
B.O.T.A. (Baddest Of Them All),B.O.T.A. (Baddest Of Them All) / Move To The,Eliza Rose,"2,397",29.1,34495.0,3089794.0,52.0
Lucky Girl Syndrome,SUPER REAL ME,ILLIT,"2,408",29.0,1933.0,2045965.0,72.0
Little Dark Age,Little Dark Age,MGMT,"2,415",29.0,197169.0,31052903.0,72.0
Hypnotized,Hypnotized,Purple Disco Machine,"2,419",29.0,77323.0,15730444.0,58.0
Diable,Bocaterrosa,Ven'nus,"2,423",29.0,117.0,4155.0,10.0
Laung Laachi Title Track,"Laung Laachi Title Track (From ""Laung Laachi"")",Mannat Noor,"2,422",29.0,6294.0,1007695.0,45.0
ELEVEN,ELEVEN,IVE,"2,407",29.0,23542.0,9642342.0,66.0
Space Cadet (feat. Gunna),NOT ALL HEROES WEAR CAPES,Metro Boomin,"2,416",29.0,204396.0,35887216.0,75.0
November Rain (2022 Version),November Rain / Double Talkin' Jive / You Could Be Mine,Guns N' Roses,"2,420",29.0,2572.0,13575009.0,53.0
We Ride,We Ride - Single,Bryan Martin,"2,414",29.0,30976.0,8143503.0,76.0
Rich Spirit,Mr. Morale & The Big Steppers,Kendrick Lamar,"2,437",28.9,68188.0,10639841.0,71.0
Cochinae,Querian Perreo?,Julianno Sosa,"2,438",28.9,35527.0,6146030.0,58.0
Juju On That Beat (TZ Anthem),Juju On That Beat (TZ Anthem),Zay Hilfigerrr,"2,427",28.9,30216.0,6007155.0,52.0
I'm Not The Only One,In The Lonely Hour (Deluxe),Sam Smith,"2,428",28.9,164059.0,76679523.0,77.0
Murder,Murder,Bgnzinho,"2,431",28.9,1475.0,166424.0,37.0
Major Distribution,Her Loss,Drake,"2,430",28.9,70800.0,15434966.0,62.0
Chlorine,Trench,Twenty One Pilots,"2,425",28.9,91490.0,9737600.0,68.0
Here,Here,Alessia Cara,"2,441",28.9,76646.0,16115782.0,65.0
Favorito,Favorito,Camilo,"2,435",28.9,42311.0,12661251.0,58.0
Royalty,Royalty,Egzod,"2,432",28.9,52261.0,12634570.0,74.0
Am I Wrong,More Music 2013,Nico & Vinz,"2,440",28.9,160031.0,38549276.0,71.0
Tennessee Orange,Tennessee Orange,Megan Moroney,"2,424",28.9,28139.0,12480714.0,73.0
Still Trappin' (with King Von),The Voice,Lil Durk,"2,448",28.8,76081.0,7784086.0,61.0
YUM YUM (Slowed),YUM YUM,LXNGVX,"2,450",28.8,10792.0,6471028.0,64.0
Issues,Issues,Julia Michaels,"2,446",28.8,86990.0,25275888.0,69.0
Element,Meet The Woo 2,Pop Smoke,"2,457",28.8,164690.0,25242475.0,68.0
GOD'S COUNTRY,UTOPIA,Travis Scott,"2,455",28.8,34681.0,3243869.0,64.0
F Boy,F Boy,Ander Huang,"2,451",28.8,973.0,166740.0,19.0
Say It,Say It,Tory Lanez,"2,447",28.8,83010.0,18881944.0,70.0
Ain't Shit,Planet Her,Doja Cat,"2,454",28.8,90475.0,27073255.0,70.0
Dancing With Your Ghost,Dancing With Your Ghost,Sasha Alex Sloan,"2,458",28.8,104197.0,40491454.0,71.0
SIRENS,UTOPIA,Travis Scott,"2,449",28.8,39218.0,4027424.0,65.0
I Love Mama Mantu,I Love Mama Mantu,Bulan Sutena,"2,468",28.7,1905.0,405342.0,37.0
Hall of Fame (feat. will.i.am),NRJ Hits 17,The Script,"2,465",28.7,180669.0,67730386.0,78.0
Original som fan,HIPHOPP Vol. 1,OP,"2,466",28.7,93.0,4955.0,3.0
SLAY!,SLAY!,Eternxlkz,"2,471",28.7,5560.0,36721527.0,80.0
Runaway (U & I),Runaway (U & I),Galantis,"2,469",28.7,155100.0,42988196.0,72.0
Ley Seca,Ley Seca,Jhay Cortez,"2,462",28.7,80841.0,20936024.0,66.0
Dawns (feat. Maggie Rogers),Dawns (feat. Maggie Rogers) - Single,Zach Bryan,"2,461",28.7,44088.0,11298879.0,75.0
So High School,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,Taylor Swift,"2,478",28.6,3397.0,13075013.0,87.0
Hola,Climaxxx,Dalex,"2,483",28.6,6572.0,781594.0,42.0
Dark Red,Dark Red,Steve Lacy,"2,475",28.6,261850.0,48425069.0,80.0
Diosa,Easy Money Baby,Myke Towers,"2,484",28.6,70596.0,17915387.0,66.0
Wagon Wheel,True Believers,Darius Rucker,"2,477",28.6,107826.0,25463894.0,73.0
Dil Galti Kar Baitha Hai,Dil Galti Kar Baitha Hai,Jubin Nautiyal,"2,482",28.6,5573.0,1466888.0,53.0
Is There Someone Else?,The Highlights (Deluxe),The Weeknd,"2,485",28.6,87216.0,26997782.0,76.0
Wild Side (feat. Cardi B),Wild Side (feat. Cardi B) - Single,Normani,"2,476",28.6,36504.0,12624326.0,60.0
Location (feat. Burna Boy),PSYCHODRAMA,Dave,"2,490",28.5,169023.0,15332361.0,70.0
Mon Amour,Mon Amour,Annalisa,"2,488",28.5,9584.0,2241484.0,56.0
"Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")","Ve Kamleya (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,"2,495",28.5,6294.0,9201752.0,68.0
Pray For Me,Pray For Me (with Kendrick Lamar),The Weeknd,"2,491",28.5,139420.0,28588643.0,71.0
p r i d e . i s . t h e . d e v i l (with Lil Baby),The Off-Season,J. Cole,"2,487",28.5,125205.0,14849325.0,65.0
Position,Prime,Franglish,"2,492",28.5,3922.0,6621845.0,73.0
Motley Crew,Motley Crew,Post Malone,"2,486",28.5,98593.0,24244488.0,66.0
"Sugarcane (Remix) [feat. King Promise, Mayorkun & Darkoo]","Sugarcane (Remix) [feat. King Promise, Mayorkun & Darkoo]",Camidoh,"2,498",28.4,24196.0,1963638.0,57.0
TOES (feat. Lil Baby & Moneybagg Yo),KIRK,DaBaby,"2,499",28.4,77636.0,12565087.0,60.0
10 Things I Hate About You,10 Things I Hate About You,Leah Kate,"2,496",28.4,38595.0,7419495.0,4.0
Lalala - Ilkan Gunuc Remix,Lalala (Ilkan Gunuc Remix),Y2K,"2,515",28.3,9377.0,3738275.0,49.0
Poco A Poco,Poco A Poco - Single,Xavi,"2,514",28.3,15570.0,15950378.0,82.0
Red Ruby Da Sleeze,Red Ruby Da Sleeze,Nicki Minaj,"2,504",28.3,25770.0,27326995.0,59.0
Mama,Mama,Jonas Blue,"2,509",28.3,89780.0,18075056.0,67.0
Self Care,Self Care,Mac Miller,"2,516",28.3,156992.0,21060151.0,70.0
Out of Time,The Highlights (Deluxe),The Weeknd,"2,507",28.3,78793.0,18239674.0,70.0
About You,Being Funny In a Foreign Language,The 1975,"2,506",28.3,48286.0,23268627.0,75.0
BED,BED,Joel Corry,"2,512",28.3,91401.0,37879799.0,66.0
23,23,Chayce Beckham,"2,511",28.3,52661.0,12543368.0,69.0
Remember,Club House,Becky Hill,"2,529",28.2,78241.0,59982572.0,67.0
Here's Your Perfect,Here's Your Perfect,Jamie Miller,"2,523",28.2,42598.0,8678739.0,69.0
Highs & Lows,Highs & Lows,Prinz,"2,530",28.2,19758.0,4733486.0,63.0
Halloween,Halloween,Blood Dance,"2,534",28.2,45.0,1692.0,2.0
Impossible,Impossible - Single,RIIZE,"2,533",28.2,987.0,16575491.0,69.0
El Rescate,El Rescate - Single,Grupo Marca Registrada,"2,528",28.2,34952.0,16586286.0,69.0
Mirame,Mirame - Single,Blessd,"2,532",28.2,1758.0,36846830.0,72.0
Pantysito,Pantysito,Alejo,"2,526",28.2,63085.0,23635638.0,66.0
brutal,SOUR,Olivia Rodrigo,"2,524",28.2,87550.0,20272841.0,73.0
Recognize (feat. Drake),PARTYNEXTDOOR TWO,PARTYNEXTDOOR,"2,531",28.2,58725.0,10964599.0,65.0
Lovefool,Lovefool,twocolors,"2,519",28.2,73161.0,29218709.0,62.0
MEMORIAS,Microdosis,Mora,"2,527",28.2,67125.0,16316500.0,70.0
JACKIE BROWN,WASTELAND,Brent Faiyaz,"2,542",28.1,57298.0,14371239.0,70.0
Never Going Home,Summer 2021,Kungs,"2,539",28.1,89224.0,17836102.0,63.0
Pacto (feat. Luar La L),Pacto (feat. Luar La L),Jay Wheeler,"2,547",28.1,19596.0,3713869.0,54.0
Daisy,Daisy,Ashnikko,"2,543",28.1,87580.0,20339605.0,63.0
Fast Forward,GAME PLAN,JEON SOMI,"2,556",28.0,9715.0,3943924.0,59.0
Stolen Dance,Die Ultimative Chartshow - Hits 2013,Milky Chance,"2,558",28.0,331171.0,51661945.0,76.0
Set Me Free Pt.2,Set Me Free Pt.2,Jimin,"2,554",28.0,12581.0,16368476.0,76.0
Azul,Colores,J Balvin,"2,557",28.0,60072.0,13255516.0,63.0
LOCATION,LOCATION,KAROL G,"2,551",28.0,36130.0,7600107.0,50.0
Terminator,Terminator,King Promise,"2,559",28.0,8723.0,6659055.0,58.0
Snowman,Snowman,Sia,"2,561",28.0,123852.0,25500657.0,69.0
Hurricane,Donda,Kanye West,"2,549",28.0,108795.0,16231758.0,62.0
Rumah Singgah,Rumah Singgah,Fabio Asher,"2,550",28.0,13095.0,3228030.0,67.0
Strip That Down (feat. Quavo),Strip That Down,Liam Payne,"2,560",28.0,86051.0,18285158.0,63.0
Lost in the Fire (feat. The Weeknd),Lost in the Fire (feat. The Weeknd),Gesaffelstein,"2,564",27.9,158437.0,56718950.0,75.0
The Man He Sees in Me,The Man He Sees in Me,Luke Combs,"2,569",27.9,766.0,17968556.0,71.0
Dilemma,Nellyville (Explicit Version),Nelly,"2,573",27.9,170136.0,65334656.0,74.0
My wrist (with Young Thug),My wrist (with Young Thug),Yeat,"2,572",27.9,32703.0,6521059.0,64.0
GigaChad Theme - Phonk House Version,GigaChad Theme (Phonk House Version),g3ox_em,"2,571",27.9,45283.0,24157482.0,69.0
Words (feat. Zara Larsson),Words (feat. Zara Larsson),Alesso,"2,563",27.9,58627.0,45560940.0,72.0
Bombonzinho - Ao Vivo,Bombonzinho (Ao Vivo),Israel & Rodolffo,"2,576",27.9,21379.0,13592125.0,61.0
Mil Preguntas,Mil Preguntas - Single,The La Planta,"2,567",27.9,2367.0,8527648.0,70.0
Bejeweled,Midnights,Taylor Swift,"2,577",27.8,32472.0,22834672.0,71.0
That Girl,That Girl,Amrinder Gill,"2,582",27.8,234.0,2317956.0,62.0
FERXXO 151,FERXXO 151,Feid,"2,587",27.8,23959.0,10822808.0,64.0
Young And Beautiful,Music From Baz Luhrmann's Film The Great Gatsby,Lana Del Rey,"2,586",27.8,158078.0,59355964.0,80.0
United In Grief,Mr. Morale & The Big Steppers,Kendrick Lamar,"2,578",27.8,81509.0,7710812.0,71.0
La Vida Sin Ti,La Vida Sin Ti,Rels B,"2,581",27.8,3367.0,20131086.0,74.0
FREAK,YUQ1,YUQI,"2,604",27.7,918.0,11306595.0,66.0
Casa Mia,Casa Mia,Ghali,"2,607",27.7,3119.0,3112859.0,74.0
Opp Stoppa (feat. 21 Savage),Opp Stoppa (feat. 21 Savage),YBN Nahmir,"2,603",27.7,80591.0,7682255.0,64.0
Mary On A Cross,Seven Inches Of Satanic Panic,Ghost,"2,594",27.7,130464.0,19387390.0,71.0
Go Fuck Yourself,First Steps,Two Feet,"2,591",27.7,160382.0,29032760.0,68.0
Antidepresan,Antidepresan,Mert Demir,"2,605",27.7,25648.0,5961079.0,62.0
Rise,Rise,Jonas Blue,"2,592",27.7,93636.0,18157143.0,64.0
Summertime Sadness,Born To Die (Deluxe Version),Lana Del Rey,"2,606",27.7,204954.0,53282968.0,79.0
8:00 AM,8:00 AM,Nicki Nicole,"2,601",27.7,20671.0,8011051.0,63.0
PICK IT UP (feat. A$AP Rocky),Pick It Up (feat. A$AP Rocky),Famous Dex,"2,595",27.7,47818.0,8308985.0,58.0
Double Fantasy (with Future),Double Fantasy,The Weeknd,"2,597",27.7,36631.0,14272823.0,66.0
Fisherrr,Fisherrr - Single,Cash Cobain,"2,598",27.7,2816.0,3862691.0,28.0
Thank You for Being You,Thank You for Being You,OctaSounds,"2,602",27.7,739.0,35130.0,43.0
Wild as Her,Wild as Her,Corey Kent,"2,614",27.6,32769.0,6038439.0,66.0
Beautiful (feat. Camila Cabello),Beautiful (feat. Camila Cabello),Bazzi,"2,611",27.6,55335.0,17510051.0,66.0
Summertime Sadness (Sped Up),Summertime Sadness (Sped Up),Lana Del Rey,"2,613",27.6,10765.0,7466559.0,59.0
Ignorantes,Ignorantes,Bad Bunny,"2,618",27.6,88857.0,22055975.0,62.0
Break Free,Pop Party 13,Ariana Grande,"2,610",27.6,96199.0,41829450.0,70.0
Risk,Risk,Gracie Abrams,"2,617",27.6,2686.0,35162711.0,78.0
"Nathy Peluso: Bzrp Music Sessions, Vol. 36","Nathy Peluso: Bzrp Music Sessions, Vol. 36",Bizarrap,"2,615",27.6,54422.0,8157305.0,61.0
Acapulco,Acapulco,Jason Derulo,"2,608",27.6,67318.0,33339871.0,65.0
